age_group_years,sex,reference_weight_kg,energy_kcal,protein_g,fiber_low_g,fiber_high_g,water_ml,vitamin_a_ug_re,vitamin_d_ug,vitamin_e_mg_ate,vitamin_k_ug,thiamin_mg,riboflavin_mg,niacin_mg_ne,vitamin_b6_mg,vitamin_b12_ug,folate_ug_dfe,vitamin_c_mg,iron_mg,zinc_mg,selenium_ug,iodine_ug,calcium_mg,magnesium_mg,phosphorus_mg,sodium_mg,chloride_mg,potassium_mg,amdr_protein_pct,amdr_fat_pct,amdr_carbohydrate_pct,iron_note,source_url,one_third_energy_kcal,one_third_protein_g,one_third_fiber_low_g,one_third_fiber_high_g,one_third_water_ml,one_third_vitamin_a_ug_re,one_third_vitamin_c_mg,one_third_iron_mg,one_third_zinc_mg,one_third_calcium_mg,one_third_magnesium_mg,one_third_phosphorus_mg,one_third_sodium_mg,one_third_potassium_mg,target_basis,model_role
1-2,M,12.0,1000,18,6,7,1000,400,5,4,12,0.5,0.5,6,0.5,0.9,150,45,8,4.1,17,90,500,60,460,225,350,1000,6-15,15-30,55-79,,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,333.3333,6.0,2.0,2.3333,333.3333,133.3333,15.0,2.6667,1.3667,166.6667,20.0,153.3333,75.0,333.3333,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
1-2,F,11.5,920,17,6,7,920,400,5,4,12,0.4,0.4,6,0.5,1.0,150,45,8,4.0,16,90,500,60,460,225,350,1000,6-15,15-30,55-79,,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,306.6667,5.6667,2.0,2.3333,306.6667,133.3333,15.0,2.6667,1.3333,166.6667,20.0,153.3333,75.0,333.3333,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
3-5,M,17.5,1350,22,8,10,1350,400,5,5,18,0.5,0.6,7,0.6,1.1,200,45,9,5.0,20,90,550,70,500,300,500,1400,6-15,15-30,55-79,,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,450.0,7.3333,2.6667,3.3333,450.0,133.3333,15.0,3.0,1.6667,183.3333,23.3333,166.6667,100.0,466.6667,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
3-5,F,17.0,1260,21,8,10,1260,400,5,5,17,0.5,0.5,7,0.7,1.2,200,45,9,4.8,20,90,550,70,500,300,500,1400,6-15,15-30,55-79,,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,420.0,7.0,2.6667,3.3333,420.0,133.3333,15.0,3.0,1.6,183.3333,23.3333,166.6667,100.0,466.6667,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
6-9,M,23.0,1600,30,11,14,1600,400,5,6,23,0.7,0.7,9,0.7,1.3,300,45,10,5.1,20,120,700,90,500,400,600,1600,6-15,15-30,55-79,,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,533.3333,10.0,3.6667,4.6667,533.3333,133.3333,15.0,3.3333,1.7,233.3333,30.0,166.6667,133.3333,533.3333,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
6-9,F,22.5,1470,29,11,14,1470,400,5,6,23,0.7,0.7,9,0.8,1.5,300,45,9,5.0,19,120,700,90,500,400,600,1600,6-15,15-30,55-79,,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,490.0,9.6667,3.6667,4.6667,490.0,133.3333,15.0,3.0,1.6667,233.3333,30.0,166.6667,133.3333,533.3333,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
10-12,M,33.0,2060,43,15,17,2060,500,5,7,33,0.9,1.0,11,1.0,1.8,300,45,12,6.6,21,120,1000,150,1250,500,750,2000,6-15,15-30,55-79,,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,686.6667,14.3333,5.0,5.6667,686.6667,166.6667,15.0,4.0,2.2,333.3333,50.0,416.6667,166.6667,666.6667,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
10-12,F,36.0,1980,46,15,17,1980,500,5,9,36,0.9,0.9,12,1.1,2.1,300,45,20,6.1,23,120,1000,160,1250,500,750,2000,6-15,15-30,55-79,,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,660.0,15.3333,5.0,5.6667,660.0,166.6667,15.0,6.6667,2.0333,333.3333,53.3333,416.6667,166.6667,666.6667,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
13-15,M,48.5,2700,62,18,20,2700,700,5,10,49,1.2,1.3,15,1.3,2.3,400,60,19,9.2,30,150,1000,220,1250,500,750,2000,6-15,15-30,55-79,,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,900.0,20.6667,6.0,6.6667,900.0,233.3333,20.0,6.3333,3.0667,333.3333,73.3333,416.6667,166.6667,666.6667,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
13-15,F,46.0,2170,57,18,20,2170,500,5,9,46,1.0,1.0,13,1.2,2.2,400,55,28,7.4,29,150,1000,210,1250,500,750,2000,6-15,15-30,55-79,Parenthesized in source; usual diet alone may be insufficient,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,723.3333,19.0,6.0,6.6667,723.3333,166.6667,18.3333,9.3333,2.4667,333.3333,70.0,416.6667,166.6667,666.6667,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
16-18,M,59.0,3010,72,21,23,3010,800,5,11,59,1.4,1.5,18,1.5,2.7,400,70,14,9.0,37,150,1000,265,1250,500,750,2000,6-15,15-30,55-79,,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,1003.3333,24.0,7.0,7.6667,1003.3333,266.6667,23.3333,4.6667,3.0,333.3333,88.3333,416.6667,166.6667,666.6667,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
16-18,F,51.5,2280,61,21,23,2280,600,5,10,52,1.1,1.1,14,1.3,2.4,400,60,28,7.2,32,150,1000,230,1250,500,750,2000,6-15,15-30,55-79,Parenthesized in source; usual diet alone may be insufficient,https://fnri.dost.gov.ph/images/images/news/PDRI-2018.pdf,760.0,20.3333,7.0,7.6667,760.0,200.0,20.0,9.3333,2.4,333.3333,76.6667,416.6667,166.6667,666.6667,One-third of daily PDRI reference; prototype policy lookup,post_prediction_nutrition_target
